RecipeName,Ingredients,TotalTimeInMins,Cuisine,Procedure,URL,Cleaned-Ingredients,image-url,Ingredient-count,name_clean
Ada Pradhaman  With Homemade Ada,"3/4 cup Jaggery - powdered,10 Raisins,1/4 cup Hot water,1/4 cup Fresh coconut - finely chopped or thinly sliced coconut pieces,1 Banana leaf,1 teaspoon Ghee,1/2 teaspoon Ghee,Salt - a pinch,1/2 teaspoon Sunflower Oil - for greasing,2 Cardamom (Elaichi) Pods/Seeds - powdered,10 Cashew nuts,1/4 cup Rice flour,1 cup Coconut milk - thick one",45.0,South Indian Recipes,"To prepare Ada Pradhaman Recipe With Homemade Ada, let us first make the ada.To make homemade rice ada, in a mixing bowl, combine rice flour with a pinch of salt in a bowl and pour boiling hot water into the flour and combine it to make a dough using a spoon/spatula.
Preheat a steamer, to steam the adas.
Grease a banana leaf with oil and spread the rice dough into a thin layer on half of the banana leaf.Close the ada using the other side of the banana leaf.Steam cook this for 10-15 minutes.Once cool, remove the ada from the leaf and cut into smaller pieces to look flaky.To proceed with payasam recipe, heat a pan with ghee on low flame add the cashews, coconut, and raisins till they are golden.
Turn off the flame and set aside.
Heat a saucepan, on medium heat, add jaggery with 3/4 cup of water, heat till the jaggery dissolves, once it is well dissolved, turn off the flame.
 Pass the jaggery syrup through a strainer and set aside.Heat another saucepan,  add chopped ada , and dry roast the ada for 2-3 minutes, now add the jaggery syrup to it.
Let the ada cook in jaggery water over low flame for 7-8 minutes or until the aggery syrup thickens.
At this stage add the cardamom powder, coconut milk and turn off the flame.
Make sure not to cook after adding coconut milk.Garnish with the fried cashews, coconut, and raisins.Your delicious Ada Pradhaman Recipe With Homemade Ada is ready to be served during the festive lunch!",https://www.archanaskitchen.com/ada-pradaman-with-homemade-ada-kerala-special-payasam-recipe,"cashew nuts,salt,ghee,cardamom (elaichi) podsseeds,jaggery,coconutor coconut,water,raisins,banana leaf,sunflower oil greasing,coconut milk,rice flour",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Ada_Pradaman_Recipe__Kerala_Special_Payasam.jpg,12.0,ada pradhaman  with homemade ada
Agathi Keerai ,"Salt - to taste,1/4 teaspoon Mustard seeds,1 teaspoon Sunflower Oil,1/4 cup Yellow Moong Dal (Split) - soaked for 2 hours,2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),1 tablespoon Jaggery,3 tablespoons Fresh coconut,500 grams Agathi keerai - washed and coarsely chopped,1/2 teaspoon Cumin seeds (Jeera)",40.0,South Indian Recipes,"To begin making the Agathi Keerai Recipe, we will first cook the Agathi Keerai and the Moong Dal.I am assuming the Moong Dal has been soaking for a couple of hours.
When we soak it, it will take less time to get cooked along with the greens.
Once soaked, drain the excess water from the dal.Place the chopped Agathi Keerai and the soaked Moong Dal into the pressure cooker.
Add 2 to 3 tablespoons of water, sprinkle some salt and cover the pressure cooker.
Place the weight on and pressure cook the greens and the lentils until you hear a couple of whistles.
Turn off the heat after the couple of whistles and allow the pressure to release naturally.
Once the pressure has released naturally, our next step is to season the Agathi Keerai.Heat oil in a pan, add the mustard seeds, cumin seeds, red chillies, curry leaves and asafoetida.
Allow them to crackle.Add the steamed Agathi keerai and moong dal, coconut, jaggery and salt to taste.
Stir gently to combine the ingredients for a couple of minutes.
Check the salt and spice levels and adjust to suit your taste.
Turn off the heat and transfer to a serving bowl and serve.Agathi Keerai can be served with Mixed Vegetable Sambar and Steamed Rice for a weekday lunch.",https://www.archanaskitchen.com/agathi-keerai-recipe,"salt,yellow moong dal (split),asafoetida (hing),mustard seeds,coconut,jaggery,dry red chillies,cumin seeds (jeera),agathi keerai,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Agathi_Keerai_Recipe-1.jpg,10.0,agathi keerai
Allam Pachadi | Ginger Chutney ,"Salt,1/2 teaspoon Kala jeera,2 teaspoons White Urad Dal (Split) - +1/2 teaspoon for tadka,1/4 teaspoon Mustard seeds,30 grams Tamarind - soaked and pulp extracted,40 Grams Ginger - peeled and roughly chopped,pinch Asafoetida (hing),1/4 teaspoon Methi Seeds (Fenugreek Seeds),2-3 Dry Red Chillies,40 grams Jaggery,1/8 teaspoon Sesame seeds (Til seeds) - optional,Sunflower Oil - as needed,Curry leaves - few,6-7 Whole Black Peppercorns",30.0,South Indian Recipes,"To begin the preparation of Allam Pachadi, add oil in a small pan, and add jeera, pepper, methi seeds, red chilli and urad dal and roast until Fragrant and colour changes.Add this in a blender along with ginger, jaggery, tamarind pulp, salt and 1 tablespoon of water and blend this till it achieves a smooth texture and dish it out into a bowl.Now add some oil in the same pan and make a tadka with mustard, hing, curry leaves and red chillies and spoon it on top of the chutney.Serve the Allam Pachadi with Pesarattu! ",https://www.archanaskitchen.com/allam-pachadi-ginger-chutney-recipe,"salt,sunflower oil,tamarind pulp,mustard seeds,grams ginger,asafoetida (hing),jaggery,black peppercorns,curry leaves,dry red chillies,methi seeds (fenugreek seeds),white urad dal (split) tadka,sesame seeds (til seeds),kala jeera",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Allam_Pachadi.jpg,14.0,allam pachadi | ginger chutney
Amla Rasam ," 1 tomato,6 amla, 1/4 cup green coriander - chopped, 1 teaspoon cumin seeds, 1/4 teaspoon ginger, 2 teaspoons ghee, 2 green chillies, 1/2 teaspoon black pepper powder, asafoetida - a pinch, 1 teaspoon mustard, 1 dry red chili - break, salt - as per taste, 1/4 teaspoon turmeric powder, 10-15 mint leaves",40.0,South Indian Recipes,"To make the Nellikai Rasam recipe, first of all, pour the amla in a saucepan with 2 cups of water.
Cook on low heat.
After the amla becomes soft, drain the water, turn off the gas and keep it aside.
Now in a mixer grinder, add tomato, ginger, mint, coriander, green chili, cumin, black pepper powder and grind it.
Keep it separately.
Add the cooked amla, 3 cups of water, turmeric powder in a pan and allow it to boil on low heat.
After boiling, add ground spices, salt and mix.
Let it boil After that turn off the gas and keep it aside.
Now heat the ghee in a tempering pan for tempering.
Add mustard seeds and let it splutter.
After this add dry red chillies, asafoetida and cook for 15 seconds.
Add this tempering to the rasam and serve.
Serve Nellikai Rasam with Thoran of Carrot and Beans, Rice and Keerai Sambar.",https://www.archanaskitchen.com/nellikai-rasam-whole-gooseberry-rasam-recipe-in-hindi,"turmeric powder,salt,tomato,ginger,coriander (dhania) leaves,dry red chilli break,ghee,asafoetida,mustard,amla,mint leaves,black pepper powder,green chillies,cumin seeds",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Nellikai_Rasam__Whole_Gooseberry_Rasam_.jpg,14.0,amla rasam
Ammini Kozhukattai ,"2 teaspoons Coconut Oil,1/2 teaspoon Sambar Powder,1 teaspoon Mustard seeds,1 cup Rice,2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coconut Oil,3/4 teaspoon Salt,1 sprig Curry leaves",50.0,South Indian Recipes,"To begin with Ammani Kozhukattai, Soak rice for 3 to 4 hours in water.After 3-4 hours, grind to smooth paste with salt.Heat a teaspoon of coconut oil in a deep non-stick pan and add the rice paste.Keep stirring until the mixture turns transparent & rolls into a ball, allow this to cool.Add turmeric powder and hing to this rice dough and mash nicely with hands.Make into tiny balls and arrange in idli plate.
Steam cook until the idli cooker whistles.Heat oil in a tadka pan and add all the ingredients under ÃÂÃÂFor temperingÃÂÃÂ.
Once the mustard seeds splutter, pour it on the steamed balls.Serve Ammani Kozhukattai with South Indian Coconut Chutney and Masala chai.
",https://www.archanaskitchen.com/ammani-kozhukkattai-recipe,"salt,rice,asafoetida (hing),mustard seeds,curry leaves,dry red chillies,coconut oil,turmeric powder,sambar powder",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sowpernica/Ammani_Kozhukkattai.jpg,9.0,ammini kozhukattai
Ammini Kozhukattai ,"1 teaspoon White Urad Dal (Split),1 Dry Red Chilli - for garnish,Salt - to taste,2 teaspoon Fresh coconut - grated for garnish,1 teaspoon Mustard seeds,1/2 cup Rice flour,1 cup Water,1/4 teaspoon Asafoetida (hing),2 tablespoons Sunflower Oil,1 sprig Curry leaves",53.0,South Indian Recipes,"To begin the preparation of Ammini Kozhukattai, mix 2 teaspoon of rice flour in water thoroughly and bring the water to a rolling boil.
Add 1/4 tsp of salt and 1 tablespoon of oil.
Let the rice flour cook in water for a few minutes till it thickens.Now add the rest of the flour, wait for 2 minutes.
Now insert a wooden laddle in the middle of the Kadai and mix vigorously such that there are no lumps.
Cover to cook on low/medium heat for 3-4 minutes with intermittent mixing till the rice dough comes together in a lump.Switch off the flame.When the dough comes to slightly more than room temperature, gently knead with oiled hands.Make a cylinder with the dough and pinch into small roundels.
Meanwhile keep a steamer with adequate water to boil.Steam these mini dumplings for 8-9 minutes till glossy.
Do not overcook them, else they will turn rubbery.In a pan take the remaining oil and add mustard seeds and urad dal and wait for them to crackle.
Then add the curry leaves, red chilli, asafoetida and scraped coconut.Add the Ammini Kozhukattai to this tempering and toss well.You can serve the Ammini Kozhukattai as a snack during Ganesh Chaturthi.",https://www.archanaskitchen.com/ammini-kozhukattai-rice-flour-dumplings-recipe,"salt,mustard seeds,asafoetida (hing),coconut,water,dry red chilli,curry leaves,white urad dal (split),rice flour,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Kalyani_Srinath/Ammini_Kozhukattai.jpg,10.0,ammini kozhukattai
Andhra Gongura Pulihora  | Gongura Puliyodarai | Spicy Red Roselle Leaves Rice,"1 teaspoon White Urad Dal (Split),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1 tablespoon Coriander (Dhania) Seeds,1/2 cup Roasted Peanuts (Moongphali),4 Dry Red Chillies,3 tablespoons Sesame (Gingelly) Oil,1 teaspoon Chana dal (Bengal Gram Dal),2 teaspoons Salt - to taste,2 sprig Curry leaves - finely chopped,2 tablespoon Sesame seeds (Til seeds),1/2 teaspoon Asafoetida (hing),1 tablespoon Chana dal (Bengal Gram Dal),1/2 teaspoon Methi Seeds (Fenugreek Seeds),2 cups Rice,300 grams Gongura Leaves (Red Roselle) - washed and finely chopped",45.0,South Indian Recipes,"To begin making the Andhra Gongura Puliyodharai Recipe, prep all the ingredients and keep them ready.Wash the rice well and add it into a pressure cooker along with 4 cups of water.
Cover the pressure cooker and cook the rice for 2 whistles.
After 2 whistles, turn the heat to low and simmer the rice for 3 to 4 minutes and turn off the heat.Allow the pressure to release naturally.
Once the pressure releases, open the cooker, transfer the rice to a wide place and drizzle a little sesame oil and toss the rice gently and keep aside to cool.
We do this, so the rice remains grainy and not sticky.Wash the Gongura leaves, remove the stems and only use the leaves.
Finely chop the Gongura leaves and keep this aside.In a skillet, dry roast the ingredients mentioned in the Puliyodharai masala until browned and crisp - chana dal, coriander seeds, sesame seeds, methi seeds and red chillies.Ensure to roast on low to medium heat so the aromas of the dal and coriander come through.
Once well roasted, turn off the heat and allow it to cool.Once cooled add it to a small jar of the mixer grinder and blend into a smooth powder.
Keep it aside.In a heavy bottomed pan, heat a few tablespoon of sesame oil over medium heat.
Add the mustard seeds, urad dal, chana dal and raw peanuts.
Allow the dals and peanuts to roast well until it is crisp and golden brown.
Once done stir in the curry leaves, asafoetida and stir for a few seconds.
Add the chopped Gongura leaves, salt, turmeric powder, salt and for a few minutes.
The Gongura leaves cook very quickly and will become soft in about a minute.Once the leaves become soft, add the ground masala and stir for another couple of minutes.
Finally add the cooked rice to the Gongura Puliyodharai masala and stir well to combine until all the rice is well coated with the masala.
Check the salt and adjust to suit your taste.Cover the pan and allow the flavors to get absorbed to make the Gongura Puliyodharai get all its flavours - for about 4 to 5 minutes.Turn off the heat and transfer the Gongura Puliyodharai to a serving bowl and serve hot.Serve the Andhra Gongura Puliyodharai as it is for lunch or dinner along with a tomato onion thayir pachadi and enjoy a wholesome and delicious meal.",https://www.archanaskitchen.com/andhra-style-gongura-pulihora-recipe-spicy-red-roselle-leaves-rice,"salt,rice,mustard seeds,asafoetida (hing),sesame (gingelly) oil,gongura leaves (red roselle),curry leaves,white urad dal (split),coriander (dhania) seeds,sesame seeds (til seeds),methi seeds (fenugreek seeds),peanuts (moongphali),dry red chillies,turmeric powder,chana dal (bengal gram dal)",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Andhra_Style_Gongura_Pulihora_Recipe_-_Spicy_Red_Roselle_Leaves_Rice__2_1600.jpg,15.0,andhra gongura pulihora  | gongura puliyodarai | spicy red roselle leaves rice
Andhra Style Corn Vada ,"Salt - as required,2 Green Chillies,1/4 cup Gram flour (besan),1-1/2 cup Sweet corn,1 inch Ginger - grated,1/2 cup Chana dal (Bengal Gram Dal) - soaked and drained,2 Dry Red Chillies,1/2 cup Onion - chopped,1 tablespoon Curry leaves,1/2 teaspoon Cumin seeds (Jeera),4 tablespoon Coriander (Dhania) Leaves - chopped",50.0,South Indian Recipes,"To begin with Andhra Style Corn Vada, add soaked and drained chana dal, corn kernels, ginger, green chilies, curry leaves and dry chilies in a mixer grinder and make a coarse paste out of it.Take a mixing bowl and transfer this coarse paste in it.
Add gram flour, chopped coriander leaves, cumin seeds, sweet corn kernels, salt and mix everything properly.Heat a deep pan with oil.
Take some oil on your palm and make Vada, deep fry them and put them on a tissue paper for sometime to soak the excess oil and it is ready to be served.Serve Andhra Style Corn Vada with South Indian Coconut Chutney, Dhaniya Pudina Chutney or any other chutney of your choice.
",https://www.archanaskitchen.com/andhra-style-corn-vada-recipe,"salt,ginger,chana dal (bengal gram dal),coriander (dhania) leaves,curry leaves,gram flour (besan),dry red chillies,onion,cumin seeds (jeera),sweet corn,green chillies",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Andhra_Style_Corn_Vada.jpg,11.0,andhra style corn vada
Appe Payasa  ,"Sunflower Oil - for deep frying,1 teaspoon Ghee,1/2 teaspoon Cardamom Powder (Elaichi),pinch Saffron strands,1 cup Sooji (Semolina/ Rava) - fine rava or maida,4 cups Milk - full fat milk,1/2 teaspoon Salt,1/2 teaspoon Nutmeg powder,1/2 cup Water - for the dough,1/2 cup Sugar,2 tablespoons Mixed nuts",110.0,South Indian Recipes,"To begin making the Appe Payasa recipe, we will first make the appe for the payasa.
To make the appe In a mixing bowl, combine the rava, ghee and mix them together.
Add water little by little to knead into a dough.
Leave the dough.
Let it rest for an hour.After the resting time, take a handful of the dough and roll into a large flat circle of 1 mm thickness.
Cut dough into small circle similar to pooris, using a cookie cutter or the lid of a small dabba.
In a small kadai, add oil and heat it over medium flame.
Once the oil is hot, add bite sized flattened dough and fry till they become golden and crispy.Place the fried appe in a paper towel and drain the excess oil.
Repeat the same for all the rolled dough.To make the payasa In a saucepan, add milk and boil over medium flame.
Cook until the milk reduces to its half it's quantity.Now, once the milk becomes thick, add fried appe to the milk and cook until appe soaks the milk in.
The cooked appe will float on the top and becomes soft.Add sugar to the payasam and cook until the sugar dissolves completely into it.
Add cardamom powder, nutmeg powder to the payasa.In a small bowl, add saffron to a tablespoon of warm water.
Add saffron water to the payasa.Once the payasa becomes thick, switch off the flame.
One can adjust the consistency of the payasa according to their wish.
If the payasa looks thick, add warm milk to it..Add the chopped almonds, fried cashews and pistachios to the kheer.
Serve Appe Payasam warm.Serve Appe Payasa during festivals or as a dessert after your meal of Mixed Vegetable Sambar, Beetroot Poriyaland Steamed Rice.
",https://www.archanaskitchen.com/appe-payasa-recipe,"salt,water the dough,nutmeg powder,ghee,saffron strands,sooji (semolina rava) rava maida,sugar,cardamom powder (elaichi),mixed nuts,milk full fat milk,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Appe_Payasa.jpg,11.0,appe payasa
Artichoke Bodi Surri  ,"1/2 teaspoon Mustard seeds,500 grams Bhindi/Okra/Vendaikkai - chopped small,Salt - to taste,1/4 cup Fresh coconut - grated,1 tablespoon Idli Dosa Podi (Milagai Powder),1 tablespoon Gingelly oil,1 teaspoon Sambar Powder,1/4 teaspoon Turmeric powder (Haldi),1 sprig Curry leaves",30.0,South Indian Recipes,"To begin with Vendakkai Podi Curry, prepare all the ingredients and keep them ready.Heat oil into a preheated pan; add the mustard seeds and allow it to crackle.
Add curry leaves and asafoetida and saute for a few seconds.Add the cut vendakkai/ ladys finger, sprinkle some salt and give it a stir.
Cover the pan and with the lid little ajar cook the vendakkai until done.
Keep stirring it intermittently in between so that the vendakkai poriyal gets cooked evenly.Once 3/4 th done, stir in the sambar powder, turmeric powder and idli paruppu podi.
Give it a stir and cover and cook the Vendakkai podi curry for another couple of minutes.Finally stir in the fresh coconut and check if more salt is needed and adjust to taste accordingly.
Turn off the heat and transfer the Vendakkai Podi Curry to a serving bowl and serve hot.Serve Vendakkai Podi Curry along with Jeera rasam and Steamed Rice for a simple and easy weeknight dinner.",https://www.archanaskitchen.com/vendaikkai-podi-curry-bhindi-curry-with-spiced-dal-powder-recipe,"salt,mustard seeds,coconut,bhindiokravendaikkai,curry leaves,gingelly oil,idli dosa podi (milagai powder),turmeric powder,sambar powder",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Vendakkai_Podi_Curry_Recipe_Vendakkai_Poriyal_Recipe_Bhindi_Masala_2_1600.jpg,9.0,artichoke bodi surri
